step,loss_d,loss_g,score_real,score_fake_d,score_fake_g,grad_norm_d,grad_norm_g
1,0.6978330016136169,0.7323935031890869,0.47909748554229736,0.48075973987579346,0.4807569086551666,0.06388438493013382,0.011468936689198017
2,0.6944307088851929,0.7346693277359009,0.48084756731987,0.47967448830604553,0.47966402769088745,0.052240874618291855,0.011510827578604221
3,0.6920049786567688,0.7346360683441162,0.48314720392227173,0.47971126437187195,0.47968000173568726,0.06615874171257019,0.00989354308694601
4,0.6926834583282471,0.7348185777664185,0.4821969270706177,0.4795885980129242,0.479592502117157,0.057654086500406265,0.010372819378972054
5,0.6885152459144592,0.7307255268096924,0.4882373511791229,0.48165035247802734,0.48155951499938965,0.06785175949335098,0.011804569512605667
6,0.689610481262207,0.7262951135635376,0.48920246958732605,0.48367175459861755,0.4836978018283844,0.07813318073749542,0.015439966693520546
7,0.6876120567321777,0.7208157777786255,0.49320560693740845,0.4862852692604065,0.48635539412498474,0.07026030123233795,0.02188774198293686
8,0.686962902545929,0.7234500050544739,0.49328678846359253,0.4850604236125946,0.4850759208202362,0.08642400801181793,0.02296762727200985
9,0.6872787475585938,0.723625123500824,0.493407666683197,0.4848507344722748,0.4849909842014313,0.11901671439409256,0.022481320425868034
10,0.6875039935112,0.7275844812393188,0.4922342300415039,0.48296019434928894,0.48307448625564575,0.0989442765712738,0.02548757568001747
11,0.6856767535209656,0.7332838177680969,0.49067747592926025,0.48020681738853455,0.48032915592193604,0.07286251336336136,0.026978619396686554
12,0.6821491122245789,0.7401995658874512,0.4921967387199402,0.4770286977291107,0.4770188629627228,0.09455358982086182,0.03039705567061901
13,0.6804344654083252,0.7427694201469421,0.4924280047416687,0.475747287273407,0.47579455375671387,0.10237769037485123,0.03807360306382179
14,0.6769952774047852,0.7458099722862244,0.49447810649871826,0.4741448760032654,0.4743500351905823,0.11500392854213715,0.03492729365825653
15,0.6781291365623474,0.7490071654319763,0.49341532588005066,0.4727773070335388,0.4728357791900635,0.13252392411231995,0.04896596819162369
16,0.668552815914154,0.7545729279518127,0.5020430088043213,0.4701879620552063,0.4702114462852478,0.14026761054992676,0.06462003290653229
17,0.66675865650177,0.7539796233177185,0.5039253830909729,0.4702630639076233,0.47049063444137573,0.13645821809768677,0.08286826312541962
18,0.6664822101593018,0.7514743208885193,0.505129873752594,0.47133493423461914,0.471670925617218,0.14145533740520477,0.08458270132541656
19,0.6740413904190063,0.741177499294281,0.5015107989311218,0.476286917924881,0.4765527844429016,0.140995591878891,0.10094033181667328
20,0.6619236469268799,0.7352718710899353,0.5197306871414185,0.47967323660850525,0.4793751537799835,0.18037845194339752,0.11304987221956253
21,0.6700587868690491,0.733983039855957,0.5089189410209656,0.4799196720123291,0.4799937307834625,0.1284020096063614,0.1180185079574585
22,0.6568937301635742,0.7440955638885498,0.5206785202026367,0.4750426113605499,0.4751643240451813,0.18455927073955536,0.13224764168262482
23,0.6667696237564087,0.741531491279602,0.5099098682403564,0.47643032670021057,0.47638389468193054,0.15277493000030518,0.12922734022140503
24,0.6599333882331848,0.7367937564849854,0.5190123319625854,0.4784710705280304,0.47864627838134766,0.18603144586086273,0.16124604642391205
25,0.6512988805770874,0.7395705580711365,0.5275117754936218,0.4776679277420044,0.47731971740722656,0.1482255905866623,0.19322052597999573
26,0.656448245048523,0.7433752417564392,0.5218164324760437,0.4760086238384247,0.4755069613456726,0.1726883351802826,0.20831450819969177
27,0.6556835174560547,0.74474036693573,0.5226593017578125,0.4754958748817444,0.4748579263687134,0.16569636762142181,0.21948978304862976
28,0.6692460775375366,0.7423977255821228,0.5098019242286682,0.47656288743019104,0.47597402334213257,0.17305535078048706,0.24679657816886902
29,0.6777796745300293,0.7261291742324829,0.5111859440803528,0.4832071363925934,0.48378273844718933,0.24734114110469818,0.29228004813194275
30,0.6840772032737732,0.7205946445465088,0.5083348155021667,0.48729267716407776,0.4864673614501953,0.21249894797801971,0.26661980152130127
