step,gen_loss,gen_grad_norm,fake_mean_0,fake_mean_1,fake_mean_2,fake_mean_3,fake_mean_4,fake_mean_5
1,0.018602186020639736,0.01567922902430165,0.4855703037552016,0.5197078101258055,0.5208725417676973,0.5029272788700919,0.558652126752301,0.50605777722717
2,0.03023642058460263,0.02022982652728597,0.5112232361449988,0.5249498216367515,0.5038087492179961,0.5534062924811116,0.5327635901710669,0.5073827187297761
3,0.01825921054204992,0.017437201382867282,0.5165895859014625,0.5014903250761511,0.47801206031803734,0.5088709375884962,0.5244302761733199,0.5556782029295935
4,0.013569560301709686,0.012697870367574759,0.4890102727925159,0.46694896108722467,0.4945408646668211,0.42401750723801696,0.4995669465557569,0.48762016243718603
5,0.026980351566471144,0.022208083059911506,0.494739284635002,0.5070818521733567,0.5123407642138276,0.47117795492739684,0.5712781139271801,0.48306221978325947
6,0.016926547202471193,0.01193300574560462,0.4923546134846596,0.48695418863524836,0.43551624451557613,0.4777913595373013,0.45874534018713625,0.5511117797247519
7,0.027817118369905205,0.02223226996819889,0.5013348925620499,0.4837733989449592,0.5039786766032422,0.5211703257302419,0.4773107555840438,0.4449990812032336
8,0.015364107246504657,0.012377809836573522,0.4701161158781931,0.4723161349237857,0.5151677460266313,0.4793733948025009,0.46610392347283325,0.47687833655131545
9,0.013587309903991622,0.01686168292469783,0.45484607361923124,0.4620923954715281,0.5015121045326627,0.5411948033054863,0.4888541402393967,0.5211360491724067
10,0.012834118783196208,0.008636962061002559,0.5063648099108924,0.5192377395961094,0.45154880239526035,0.4951079633653725,0.5775683857011334,0.48099073225615535
11,0.028722783224568737,0.018001351757045665,0.47915829646164865,0.5013576448281374,0.4680789963821205,0.49611174615306725,0.48276745422415807,0.5172797048096774
12,0.026890270553265382,0.020641054138363212,0.4674783809840651,0.5171026541706057,0.40469217807226465,0.4519245228997429,0.5044091299389192,0.5096958636145051
13,0.023386086130695514,0.01668428474371436,0.5116661961144748,0.49808448802317284,0.50951728331351,0.49538260034134096,0.5028361558903343,0.5511772771816678
14,0.040826970266944616,0.028937280617117138,0.5290816894776433,0.4759855650793156,0.5334407034818048,0.5122593667193442,0.5501113253970372,0.4461161135796242
15,0.023493502697320433,0.014356117865670384,0.5216482038781752,0.5279446816434392,0.4714851617019443,0.48701817918038137,0.4926927938610006,0.5358605435452158
16,0.017340126925442033,0.01732571135588157,0.520348583791979,0.5234802008224895,0.4862085971516561,0.4608304171526991,0.4666985014003123,0.44013948987955687
17,0.0252814200559362,0.025921611528409327,0.4872741782747056,0.48188052225825745,0.4954190162794829,0.5137016799128834,0.5336702832259927,0.4510235965518563
18,0.021598933819904142,0.01761933850249129,0.43635068410421274,0.4989376968354073,0.4918454143308208,0.49063681710287366,0.5212251419524528,0.5007498893337146
19,0.023041377811223954,0.013259617222390418,0.47269644160021873,0.48786356308591416,0.5499514273195846,0.4946771691413528,0.513882353725043,0.45520577922401795
