step,loss_d,loss_g,score_real,score_fake_d,score_fake_g,grad_norm_d,grad_norm_g,real_mean,real_std,real_min,real_max,real_near_zero_frac,real_near_one_frac,real_clip_frac,fake_d_mean,fake_d_std,fake_d_min,fake_d_max,fake_d_near_zero_frac,fake_d_near_one_frac,fake_g_mean,fake_g_std,fake_g_min,fake_g_max,fake_g_near_zero_frac,fake_g_near_one_frac
1,0.6944983899593353,0.6558094024658203,0.5241238176822662,0.5222063660621643,0.519241213798523,0.07458653673529625,0.009965306147933006,0.414813295006752,0.2173609957098961,0.032842609100043774,0.9982879161834717,0.010416666977107525,0.010416666977107525,0.005208333333333333,0.4982706755399704,0.01621217094361782,0.47626934945583344,0.525444507598877,0.0,0.0,0.49653252959251404,0.01730133406817913,0.47121214866638184,0.5264583826065063,0.0,0.0
2,0.6917116940021515,0.6754418611526489,0.5142229497432709,0.5110693573951721,0.5091747641563416,0.04694267921149731,0.010966388508677483,0.44338858127593994,0.2404852882027626,0.04467842075973749,1.0,0.0052083334885537624,0.020833333488553762,0.020833333333333332,0.4967634230852127,0.01718970015645027,0.4720589518547058,0.5248532295227051,0.0,0.0,0.4932176172733307,0.01954001747071743,0.46318671107292175,0.5247981548309326,0.0,0.0
3,0.69062140583992,0.6836211681365967,0.5090828537940979,0.5055060684680939,0.5051129460334778,0.0563507154583931,0.01372747402638197,0.4869220554828644,0.25671811401844025,0.029079940170049667,1.0,0.02083333395421505,0.062499999068677425,0.04166666666666667,0.4934569001197815,0.019230048172175884,0.46434955298900604,0.522688090801239,0.0,0.0,0.48985394835472107,0.02200409211218357,0.4604518711566925,0.5208950042724609,0.0,0.0
4,0.6882197856903076,0.6928282976150513,0.5077089071273804,0.5014480948448181,0.5005292296409607,0.05275202542543411,0.014214021153748035,0.42951828241348267,0.2431042343378067,0.03347446024417877,1.0,0.020833333488553762,0.046875,0.03125,0.4899419844150543,0.022107409313321114,0.46047912538051605,0.5190418362617493,0.0,0.0,0.4844418466091156,0.024731891229748726,0.44893625378608704,0.5145272612571716,0.0,0.0
5,0.6879045069217682,0.6969469785690308,0.5056287050247192,0.499127134680748,0.4986313283443451,0.06453375890851021,0.01720617339015007,0.44582873582839966,0.24482307583093643,0.0408510509878397,1.0,0.015625,0.046875,0.03125,0.483425036072731,0.025416246615350246,0.4447549283504486,0.5168417692184448,0.0,0.0,0.4759956896305084,0.029266072437167168,0.42961934208869934,0.5134037137031555,0.0,0.0
6,0.6874416768550873,0.7016090154647827,0.5033951699733734,0.4965049773454666,0.4964768886566162,0.060791607946157455,0.020162897184491158,0.4778500646352768,0.24969200789928436,0.07344698160886765,1.0,0.0,0.06249999813735485,0.041666666666666664,0.4774032533168793,0.028018943965435028,0.4348714053630829,0.5124959945678711,0.0,0.0,0.46680209040641785,0.031007152050733566,0.40756741166114807,0.5097752213478088,0.0,0.0
7,0.6844946146011353,0.7045917510986328,0.5054429173469543,0.49504005908966064,0.4955774247646332,0.07694799453020096,0.029729554429650307,0.4416157901287079,0.24404993653297424,0.04019223153591156,1.0,0.010416666977107525,0.031250000931322575,0.015625,0.46679289638996124,0.031052916310727596,0.4124058783054352,0.5082409977912903,0.0,0.0,0.45249006152153015,0.034985896199941635,0.3883076310157776,0.49921736121177673,0.0,0.0
8,0.6825899183750153,0.7052075266838074,0.5072392225265503,0.49498943984508514,0.49570900201797485,0.07331788167357445,0.037512555718421936,0.4501091539859772,0.25515785813331604,0.0384561400860548,1.0,0.0052083334885537624,0.06249999813735485,0.041666666666666664,0.45358090102672577,0.0348772257566452,0.38026343286037445,0.5011933445930481,0.0,0.0,0.43777814507484436,0.038594845682382584,0.3560304045677185,0.4984242618083954,0.0,0.0
9,0.6774412393569946,0.7168904542922974,0.5099245011806488,0.4903949201107025,0.4906539022922516,0.08448003605008125,0.04931269586086273,0.4265448600053787,0.2579227015376091,0.029887421056628227,1.0,0.010416666977107525,0.03645833395421505,0.015625,0.437714159488678,0.038089508190751076,0.3531806021928787,0.4968189150094986,0.0,0.0,0.4234757721424103,0.03968122974038124,0.33468079566955566,0.489621639251709,0.0,0.0
10,0.6774640083312988,0.709998369216919,0.5093734562397003,0.490412637591362,0.4958789348602295,0.09272979944944382,0.07696384936571121,0.43295659124851227,0.24903809279203415,0.04289010912179947,1.0,0.015625000465661287,0.03645833395421505,0.026041666666666664,0.4219314455986023,0.04022633470594883,0.3211553990840912,0.48719003796577454,0.0,0.0,0.3985878527164459,0.047062914818525314,0.2941831648349762,0.4754612147808075,0.0,0.0
11,0.6772783100605011,0.7058453559875488,0.5164128243923187,0.49629466235637665,0.4992016851902008,0.0979267917573452,0.08477932959794998,0.4255424588918686,0.24917367100715637,0.02661450020968914,1.0,0.026041666977107525,0.03125,0.026041666666666664,0.3975208103656769,0.04731891676783562,0.28512290120124817,0.4693456441164017,0.0,0.0,0.3781627416610718,0.05187579244375229,0.2834031283855438,0.45845499634742737,0.0,0.0
12,0.6753219664096832,0.6999368071556091,0.5221754908561707,0.4975534677505493,0.5029805302619934,0.11337731406092644,0.11242999136447906,0.44972819089889526,0.242220439016819,0.03560625948011875,1.0,0.015625000465661287,0.05729166604578495,0.04166666666666667,0.3680727779865265,0.05665425769984722,0.2497490495443344,0.4511004090309143,0.0,0.0,0.3483186960220337,0.06277987360954285,0.21331259608268738,0.4434976875782013,0.0,0.0
